x22,x23,x08,x17,x18,x16,x14,x15,x10,x25,x26,x11,x19,x20,x21,x09,x27,x28,x29,x30,x31,x12,x07
110.00,3.00,0.70,26.00,2.00,16.00,9.00,90.00,105.00,32.00,0.50,0.50,0.50,20.00,0.50,0.60,0.85,1.00,0.00,1.10,0.60,1.10,120.00,
110.00,6.00,0.90,26.00,1.00,16.00,8.00,60.00,105.00,32.00,0.50,0.50,0.50,15.00,0.25,0.50,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,3.00,0.90,26.00,1.00,11.50,7.00,45.00,105.00,32.00,0.25,0.25,0.50,10.00,0.00,0.40,0.85,1.00,0.00,0.60,0.85,1.10,150.00,
110.00,5.00,0.70,26.00,2.00,16.00,7.00,105.00,105.00,32.00,0.25,0.50,1.00,20.00,0.50,0.60,0.60,0.00,0.55,0.85,0.60,1.10,120.00,
2.00,5.00,0.70,26.00,1.00,16.00,7.00,45.00,75.00,32.00,0.25,0.50,0.50,10.00,0.00,0.60,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,0.90,18.50,2.00,16.00,7.00,75.00,105.00,16.00,0.25,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,0.60,0.60,1.10,150.00,
2.00,5.00,0.90,18.50,2.00,16.00,7.00,75.00,105.00,16.00,0.25,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,0.60,0.60,1.10,150.00,
56.00,3.00,0.90,26.00,2.00,16.00,6.00,75.00,105.00,32.00,0.25,0.50,1.00,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
110.00,4.00,0.90,26.00,2.00,16.00,7.00,65.00,90.00,32.00,0.25,0.50,1.00,20.00,0.50,0.50,1.10,1.00,0.55,0.85,0.60,1.10,120.00,
2.00,6.00,0.90,18.50,2.00,16.00,6.00,70.00,105.00,16.00,0.25,0.50,0.50,20.00,0.50,0.60,0.85,1.00,0.00,1.10,0.85,1.10,90.00,
2.00,5.00,0.70,26.00,2.00,16.00,8.00,65.00,105.00,32.00,0.50,0.50,0.50,10.00,0.00,0.50,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
56.00,5.00,0.90,26.00,2.00,16.00,9.00,65.00,105.00,32.00,0.50,0.50,0.50,10.00,0.00,0.50,0.60,0.00,0.55,1.10,0.85,1.10,90.00,
56.00,3.00,0.90,26.00,2.00,16.00,6.00,75.00,105.00,32.00,0.25,0.50,1.00,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
2.00,4.00,0.70,26.00,2.00,16.00,4.50,105.00,90.00,32.00,0.00,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,0.85,0.60,1.10,150.00,
2.00,5.00,0.90,26.00,2.00,16.00,8.00,75.00,105.00,32.00,0.50,0.50,0.50,15.00,0.25,0.60,1.10,1.00,0.00,1.10,0.60,1.10,90.00,
2.00,3.00,0.50,26.00,2.00,16.00,7.00,65.00,105.00,32.00,0.25,0.50,1.00,10.00,0.00,0.50,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
56.00,5.00,0.90,26.00,2.00,16.00,7.00,45.00,105.00,32.00,0.25,0.50,0.50,20.00,0.50,0.60,0.85,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,0.70,26.00,1.00,16.00,7.00,45.00,75.00,32.00,0.25,0.50,0.50,10.00,0.00,0.60,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
110.00,4.00,0.90,26.00,2.00,16.00,6.00,90.00,105.00,32.00,0.25,0.50,0.50,20.00,0.50,0.60,0.60,1.00,0.00,1.10,0.60,1.10,90.00,
110.00,6.00,0.90,26.00,2.00,11.50,9.00,65.00,105.00,32.00,0.50,0.50,0.50,10.00,0.00,0.50,0.60,0.00,0.00,1.10,0.85,1.10,150.00,
110.00,6.00,0.90,26.00,2.00,16.00,7.00,105.00,105.00,32.00,0.25,0.25,0.50,15.00,0.25,0.60,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
110.00,4.00,0.90,26.00,2.00,16.00,8.00,60.00,105.00,32.00,0.50,0.50,0.50,15.00,0.25,0.60,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
2.00,3.00,0.90,18.50,2.00,16.00,7.00,90.00,90.00,16.00,0.25,0.25,0.50,20.00,0.50,0.60,0.60,1.00,0.00,1.10,0.60,1.10,90.00,
2.00,2.00,0.70,18.50,2.00,11.50,8.00,65.00,105.00,16.00,0.50,0.25,0.50,15.00,0.25,0.50,1.10,1.00,0.00,0.60,0.85,1.10,120.00,
2.00,5.00,0.90,18.50,1.00,16.00,8.00,60.00,105.00,16.00,0.25,0.50,0.50,10.00,0.00,0.60,0.60,1.00,0.00,1.10,0.60,1.10,150.00,
110.00,4.00,0.90,26.00,2.00,16.00,7.00,65.00,90.00,32.00,0.25,0.50,1.00,20.00,0.50,0.50,1.10,1.00,0.55,0.85,0.60,1.10,120.00,
2.00,4.00,0.70,26.00,2.00,16.00,4.50,105.00,90.00,32.00,0.00,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,150.00,
2.00,3.00,0.90,18.50,2.00,16.00,7.00,90.00,90.00,16.00,0.25,0.25,0.50,20.00,0.50,0.60,0.60,1.00,0.00,1.10,0.60,1.10,90.00,
2.00,5.00,0.90,26.00,2.00,11.50,9.00,60.00,105.00,32.00,0.50,0.50,0.50,20.00,0.50,0.50,0.85,1.00,0.55,0.85,0.60,1.10,150.00,
2.00,5.00,0.70,18.50,1.00,16.00,8.00,65.00,90.00,16.00,0.50,0.50,0.50,10.00,0.00,0.50,0.85,1.00,0.00,0.85,0.60,1.10,180.00,
2.00,5.00,0.90,26.00,2.00,16.00,7.00,90.00,90.00,32.00,0.25,0.25,0.50,10.00,0.00,0.50,0.85,1.00,0.00,1.10,0.85,1.10,90.00,
110.00,5.00,0.90,26.00,1.00,11.50,6.00,105.00,105.00,32.00,0.25,0.50,0.50,10.00,0.00,0.40,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
110.00,7.00,0.90,26.00,2.00,16.00,4.50,45.00,105.00,32.00,0.00,0.50,0.50,15.00,0.25,0.50,1.10,1.00,0.00,1.10,0.85,1.10,120.00,
2.00,6.00,0.90,18.50,2.00,16.00,6.00,70.00,105.00,16.00,0.25,0.50,0.50,20.00,0.50,0.60,0.85,1.00,0.00,1.10,0.85,1.10,90.00,
56.00,3.00,0.90,26.00,2.00,16.00,6.00,75.00,105.00,32.00,0.25,0.50,1.00,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
110.00,5.00,0.70,26.00,2.00,16.00,7.00,90.00,90.00,32.00,0.25,0.25,0.50,20.00,0.50,0.60,0.85,1.00,0.00,0.85,0.60,1.10,180.00,
2.00,5.00,0.90,18.50,2.00,16.00,8.00,75.00,105.00,16.00,0.25,0.50,0.50,20.00,0.50,0.40,1.10,1.00,0.00,1.10,0.60,1.10,150.00,
110.00,6.00,0.90,26.00,2.00,11.50,9.00,65.00,105.00,32.00,0.50,0.50,0.50,10.00,0.00,0.50,0.60,0.00,0.00,1.10,0.85,1.10,150.00,
2.00,3.00,0.50,26.00,2.00,16.00,7.00,65.00,105.00,32.00,0.25,0.50,1.00,10.00,0.00,0.50,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
56.00,6.00,0.90,26.00,2.00,16.00,7.00,45.00,90.00,32.00,0.25,0.50,0.50,15.00,0.25,0.60,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
110.00,6.00,0.90,26.00,2.00,16.00,9.00,65.00,105.00,32.00,0.50,0.50,0.50,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,3.00,0.50,26.00,2.00,16.00,7.00,65.00,105.00,32.00,0.25,0.50,1.00,10.00,0.00,0.50,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,0.90,18.50,1.00,16.00,8.00,60.00,105.00,16.00,0.25,0.50,0.50,10.00,0.00,0.60,0.60,1.00,0.00,1.10,0.60,1.10,150.00,
56.00,3.00,0.90,26.00,2.00,16.00,8.00,90.00,105.00,32.00,0.50,0.50,0.50,20.00,0.00,0.40,1.10,1.00,0.55,1.10,0.60,1.10,150.00,
2.00,5.00,0.90,26.00,2.00,16.00,8.00,75.00,105.00,32.00,0.50,0.50,0.50,15.00,0.25,0.60,1.10,1.00,0.00,1.10,0.60,1.10,150.00,
56.00,7.00,0.90,26.00,0.00,16.00,9.00,90.00,90.00,32.00,0.50,0.50,0.50,20.00,0.50,0.50,0.85,1.00,0.00,1.10,0.60,1.10,120.00,
110.00,5.00,0.90,26.00,2.00,16.00,8.00,75.00,90.00,32.00,0.50,0.50,0.50,20.00,0.50,0.60,0.60,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,0.90,26.00,2.00,16.00,7.00,90.00,105.00,32.00,0.25,0.25,0.50,10.00,0.00,0.40,1.10,1.00,0.00,1.10,0.60,1.10,90.00,
110.00,4.00,0.70,26.00,2.00,16.00,7.00,105.00,105.00,32.00,0.25,0.25,0.50,15.00,0.25,0.50,0.85,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,0.90,26.00,2.00,16.00,8.00,75.00,90.00,32.00,0.50,0.50,0.50,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,4.00,0.70,26.00,2.00,16.00,4.50,105.00,90.00,32.00,0.00,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,150.00,
56.00,3.00,0.90,26.00,2.00,16.00,6.00,75.00,105.00,32.00,0.25,0.50,1.00,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
2.00,5.00,0.90,18.50,2.00,16.00,7.00,45.00,105.00,16.00,0.25,0.25,1.00,10.00,0.00,0.50,1.10,1.00,0.00,0.85,0.60,1.10,120.00,
2.00,7.00,0.90,18.50,2.00,16.00,8.00,50.00,105.00,16.00,0.50,0.50,0.50,20.00,0.50,0.40,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
56.00,7.00,0.90,26.00,0.00,16.00,9.00,90.00,90.00,32.00,0.50,0.50,0.50,20.00,0.50,0.50,0.85,1.00,0.00,1.10,0.60,1.10,120.00,
110.00,4.00,0.90,26.00,2.00,16.00,7.00,105.00,105.00,32.00,0.25,0.50,1.00,20.00,0.50,0.60,0.85,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,0.90,26.00,2.00,16.00,7.00,90.00,90.00,32.00,0.25,0.25,0.50,10.00,0.00,0.50,0.85,1.00,0.00,1.10,0.85,1.10,90.00,
56.00,4.00,0.90,18.50,2.00,16.00,7.00,90.00,90.00,16.00,0.25,0.50,1.00,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
56.00,3.00,0.90,26.00,2.00,16.00,8.00,90.00,105.00,32.00,0.50,0.50,0.50,20.00,0.00,0.40,1.10,1.00,0.55,1.10,0.60,1.10,150.00,
110.00,4.00,0.90,26.00,2.00,16.00,7.00,105.00,105.00,32.00,0.25,0.50,1.00,20.00,0.50,0.60,0.85,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,4.00,0.70,26.00,2.00,16.00,4.50,105.00,90.00,32.00,0.00,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,150.00,
110.00,5.00,0.90,26.00,2.00,16.00,6.00,105.00,105.00,32.00,0.25,0.50,1.00,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,150.00,
2.00,5.00,0.90,18.50,2.00,16.00,7.00,75.00,105.00,16.00,0.25,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,0.60,0.60,1.10,150.00,
56.00,4.00,0.70,18.50,1.00,16.00,4.00,35.00,105.00,16.00,0.00,0.50,0.50,15.00,0.25,0.40,1.10,1.00,0.00,0.85,0.60,1.10,180.00,
2.00,2.00,0.90,26.00,2.00,16.00,8.00,90.00,105.00,32.00,0.25,0.50,0.50,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
2.00,5.00,0.90,18.50,2.00,16.00,8.00,105.00,105.00,16.00,0.50,0.50,1.00,15.00,0.25,0.60,0.85,1.00,0.55,1.10,0.60,1.10,150.00,
110.00,6.00,0.90,18.50,1.00,16.00,7.00,75.00,90.00,16.00,0.25,0.50,0.50,15.00,0.25,0.60,0.85,1.00,0.00,0.85,0.60,1.10,150.00,
56.00,4.00,0.90,18.50,2.00,16.00,7.00,90.00,90.00,16.00,0.25,0.50,1.00,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,6.00,0.90,18.50,2.00,16.00,8.00,45.00,90.00,16.00,0.50,0.50,0.50,15.00,0.25,0.60,1.10,1.00,0.00,1.10,0.85,1.10,180.00,
56.00,5.00,0.90,26.00,2.00,16.00,7.00,45.00,105.00,32.00,0.25,0.50,0.50,20.00,0.50,0.60,0.85,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,5.00,0.90,18.50,2.00,16.00,7.00,75.00,105.00,16.00,0.25,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,0.60,0.60,1.10,150.00,
2.00,5.00,0.90,18.50,2.00,16.00,7.00,45.00,105.00,16.00,0.25,0.25,1.00,10.00,0.00,0.50,1.10,1.00,0.00,0.85,0.60,1.10,120.00,
2.00,3.00,0.90,26.00,1.00,11.50,7.00,45.00,105.00,32.00,0.25,0.25,0.50,10.00,0.00,0.40,0.85,1.00,0.00,0.60,0.85,1.10,150.00,
2.00,6.00,0.90,18.50,2.00,16.00,6.00,70.00,105.00,16.00,0.25,0.50,0.50,20.00,0.50,0.60,0.85,1.00,0.00,1.10,0.85,1.10,90.00,
110.00,3.00,0.70,26.00,2.00,16.00,9.00,90.00,105.00,32.00,0.50,0.50,0.50,20.00,0.50,0.60,0.85,1.00,0.00,1.10,0.60,1.10,120.00,
2.00,5.00,0.90,18.50,2.00,16.00,7.00,45.00,105.00,16.00,0.25,0.25,1.00,10.00,0.00,0.50,1.10,1.00,0.00,0.85,0.60,1.10,120.00,
2.00,5.00,0.90,18.50,2.00,16.00,7.00,75.00,105.00,16.00,0.25,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,0.60,0.60,1.10,150.00,
110.00,4.00,0.70,26.00,2.00,16.00,6.00,90.00,105.00,32.00,0.25,0.25,0.50,10.00,0.00,0.40,0.60,1.00,0.00,1.10,0.60,1.10,180.00,
2.00,6.00,0.90,18.50,2.00,16.00,8.00,45.00,90.00,16.00,0.50,0.50,0.50,15.00,0.25,0.60,1.10,1.00,0.00,1.10,0.85,1.10,180.00,
110.00,5.00,0.70,26.00,2.00,16.00,7.00,90.00,90.00,32.00,0.25,0.25,0.50,20.00,0.50,0.60,0.85,1.00,0.00,0.85,0.60,1.10,180.00,
2.00,3.00,0.70,26.00,2.00,16.00,6.00,35.00,105.00,32.00,0.00,0.50,0.50,10.00,0.00,0.50,1.10,1.00,0.00,0.85,0.60,1.10,150.00,
110.00,2.00,0.90,26.00,2.00,16.00,7.00,75.00,105.00,32.00,0.25,0.50,1.00,15.00,0.25,0.60,1.10,1.00,0.00,1.10,0.60,1.10,120.00,
2.00,3.00,0.90,26.00,1.00,16.00,9.00,45.00,105.00,32.00,0.50,0.50,0.50,20.00,0.50,0.60,1.10,0.00,0.00,1.10,0.60,1.10,150.00,
2.00,4.00,0.90,26.00,2.00,16.00,8.00,70.00,105.00,32.00,0.50,0.50,1.00,15.00,0.25,0.50,0.60,1.00,0.00,1.10,0.60,1.10,90.00,
2.00,4.00,0.70,26.00,2.00,16.00,4.50,105.00,90.00,32.00,0.00,0.25,0.50,20.00,0.50,0.60,1.10,1.00,0.00,1.10,0.60,1.10,150.00,
56.00,4.00,0.90,26.00,2.00,16.00,9.00,75.00,90.00,32.00,0.50,0.50,0.50,15.00,0.25,0.60,0.60,0.00,0.00,1.10,0.85,1.10,180.00,
110.00,3.00,0.70,26.00,2.00,16.00,7.00,65.00,105.00,32.00,0.25,0.50,0.50,15.00,0.25,0.60,0.85,1.00,0.55,1.10,0.60,1.10,120.00,
110.00,3.00,0.70,26.00,2.00,16.00,7.00,65.00,90.00,32.00,0.25,0.50,0.50,15.00,0.25,0.40,1.10,1.00,0.00,0.85,0.60,1.10,150.00,
